accession_no,author,cdli_id,collection,credits,date_of_origin,dates_referenced,designation,display_name,dynastic_seat,excavation_no,exemplars,findspot_square,genre,id_composite,language,material,museum_no,object_type,period,pleiades_id,popular_name,primary_publication,provenience,publication_date,publication_history,ruler,script,script_remarks,script_type,seal_id,subgenre,subgenre_remarks,text_remarks,year_name_eponym
"","","P463506","Vorderasiatisches Museum, Berlin, Germany","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005612/.","23th or 22nd century","","Ititi 1","RIAo Ititi 1","Assyria","","VA 08831a (Ass 20377)","","Royal Inscription","Q005612","Akkadian","stone","","plaque","Old Akkadian","893945","RIMA 1 A.0.1001.1","Ititi 1","Ashur","","","Ititi ","Old Akkadian","inscribed","Cuneiform","","Ititi","","",""
"","","P463226","British Museum, London, UK; Arkeoloji Müzeleri, Istanbul, Turkey; Vorderasiatisches Museum, Berlin, Germany; Private Collection: Unknown, Unknown","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005623/."," ca. 1974-1935","","Erišum I 03","RIAo Erišum I 03","Assyria","","VA 06398 (Ass 18800a); Ist EȘEM 06617 (Ass 18800c); VA Ass 03209r (Ass 19626); VA Ass 03209t (Ass 19640a+b); VA Ass 03209c (Ass 01620); BM 091130 (K 08553); Ass 03173; VA Ass 04296a (Ass 06644); VA Ass 03209i (Ass 16051); VA Ass 03209q (Ass 19153); VA Ass 03209s (Ass 19626a+b); VA 02971; VA Ass 03209o (Ass 17925); BM 090299 (1979-12-20, 0184); BM 090398 (1979-12-20, 0229); VA Ass 03209l (Ass 16158); VA Ass 03209p (Ass 18800e); VA Ass 03209n (Ass 16898); VA Ass 03209k (Ass 16111); VA Ass 03209b (Ass 00724); VA Ass 03209d (Ass 03766a); VA Ass 03209g (Ass 04702); VA Ass 03209f (Ass 04109); VA Ass 03209m (Ass 16158); VA Ass 03209e (Ass 04056); VA Ass 03208; VA Ass 03209h (Ass 11638); Ist EȘEM 09428; Ist EȘEM 06621; Ist EȘEM 09431 (Ass 07373); VA Ass 04296b (Ass 09421); VA Ass 04296c (Ass 17876); Ist EȘEM 06623; Ist EȘEM 09190; Ist EȘEM 09429; Ass 18800b; Private -; Ass 00301; Ass 04765","","Royal Inscription","Q005623","Akkadian","clay","","brick","Old Assyrian","893945","RIMA 1 A.0.33.3","Erišum I 03","Ashur","","","Erišum I","Old Assyrian","stamped","Cuneiform","","Erishum I","","",""
"","","P463227","Arkeoloji Müzeleri, Istanbul, Turkey; Vorderasiatisches Museum, Berlin, Germany; Merseyside County Museum, Liverpool, UK","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005624/."," ca. 1974-1935","","Erišum I 04","RIAo Erišum I 04","Assyria","","Ist EȘEM 09152 (Ass 17747d); Ist EȘEM 09106 (Ass 17747b); VA Ass 03211b (Ass 17718); Ist EȘEM - (Ass 17747e); Ass 17747a; VA Ass 03211a (Ass 17460); Merseyside 52-79-48; VA Ass 03211c (Ass 22680); VA Ass 04296d; Ist EȘEM 09436; Ass 17747c","","Royal Inscription","Q005624","Akkadian","clay","","brick","Old Assyrian","893945","RIMA 1 A.0.33.4","Erišum I 04","Ashur","","","Erišum I","Old Assyrian","inscribed","Cuneiform","","Erishum I","","",""
"","","P463228","Vorderasiatisches Museum, Berlin, Germany","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005625/."," ca. 1974-1935","","Erišum I 05","RIAo Erišum I 05","Assyria","","VA Ass 03209a; VA Ass 03210d; VA Ass 03210e (Ass 21044a)","","Royal Inscription","Q005625","Akkadian","clay","","brick","Old Assyrian","893945","RIMA 1 A.0.33.5","Erišum I 05","Ashur","","","Erišum I","Old Assyrian","inscribed","Cuneiform","","Erishum I","","",""
"","","P463229","British Museum, London, UK; Arkeoloji Müzeleri, Istanbul, Turkey; Vorderasiatisches Museum, Berlin, Germany","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005626/."," ca. 1974-1935","","Erišum I 06","RIAo Erišum I 06","Assyria","","Ist EȘEM 06615; Ist EȘEM 09296 (Ass 03293); BM 090809 (1848-11-04, 0131); VA Ass 03213a (Ass 04339); VA Ass 03213b (Ass 04781); VA Ass 04296h; VA Ass 03210b (Ass 21023); VA Ass 03213c; VA Ass 03210c","","Royal Inscription","Q005626","Akkadian","clay","","brick","Old Assyrian","893945","RIMA 1 A.0.33.6","Erišum I 06","Ashur","","","Erišum I","Old Assyrian","inscribed","Cuneiform","","Erishum I","","",""
"","","P463230","Arkeoloji Müzeleri, Istanbul, Turkey; Vorderasiatisches Museum, Berlin, Germany","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005627/."," ca. 1974-1935","","Erišum I 07","RIAo Erišum I 07","Assyria","","VA Ass 03208a (Ass 05151); VA Ass 03208e (Ass 17118); VA Ass 03208i; VA 06922; VA Ass 03208h (Ass ...65); VA Ass 03208d (Ass 16892); VA Ass 03208g (Ass 18271b); VA Ass 03208k; VA Ass 03208c (Ass 16361); VA Ass 03208b (Ass 16274); Ist EȘEM 04371 (Ass 01664); Ist EȘEM 06613; Ist EȘEM 06614; Ist EȘEM 06616; Ist EȘEM 06665 (Ass 00009); Ist EȘEM 09179; Ist EȘEM 09180; Ist EȘEM 09187 (Ass 17747); Ist EȘEM 09188; Ist EȘEM 09199; Ist EȘEM 09231 (Ass 13700); Ist EȘEM 09310 (Ass 17747g); Ist EȘEM 09311 (Ass 18378); Ist EȘEM 09442; VA Ass 03208f (Ass 18271a); VA Ass 03208l; VA Ass 03208m; Ist EȘEM 09313; Ist EȘEM -; Ist EȘEM 09181; Ist EȘEM 09182; Ist EȘEM 09183; Ist EȘEM 09184; Ist EȘEM 09185; Ist EȘEM 09186; Ist EȘEM 09189; Ass 017747f; Ist EȘEM - (Ass 016324)","","Royal Inscription","Q005627","Akkadian","clay","","brick","Old Assyrian","893945","RIMA 1 A.0.33.7","Erišum I 07","Ashur","","","Erišum I","Old Assyrian","inscribed, stamped","Cuneiform","","Erishum I","","",""
"","","P463231","Vorderasiatisches Museum, Berlin, Germany","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005628/."," ca. 1974-1935","","Erišum I 08","RIAo Erišum I 08","Assyria","","VA 05053 (Ass 16851S)","","Royal Inscription","Q005628","Akkadian","stone","","slab","Old Assyrian","893945","RIMA 1 A.0.33.8","Erišum I 08","Ashur","","","Erišum I","Old Assyrian","inscribed","Cuneiform","","Erishum I","","",""
"","","P463232","","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005629/."," ca. 1974-1935","","Erišum I 09","RIAo Erišum I 09","Assyria","","Ass 17729","","Royal Inscription","Q005629","Akkadian","stone","","slab","Old Assyrian","893945","RIMA 1 A.0.33.9","Erišum I 09","Ashur","","","Erišum I","Old Assyrian","inscribed","Cuneiform","","Erishum I","","",""
"","","P463233","Ashmolean Museum, Oxford, UK; British Museum, London, UK","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005630/."," ca. 1974-1935","","Erišum I 10","RIAo Erišum I 10","Assyria","","Ash 1922-188	","","Royal Inscription","Q005630","Akkadian","clay","","plaque","Old Assyrian","893945","RIMA 1 A.0.33.10","Erišum I 10","Ashur","","","Erišum I","Old Assyrian","inscribed","Cuneiform","","Erishum I","","",""
"","","P463234","Vorderasiatisches Museum, Berlin, Germany","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005631/."," ca. 1974-1935","","Erišum I 11","RIAo Erišum I 11","Assyria","","VA 05058 (Ass 16672S); VA 05051 (Ass 16776)","","Royal Inscription","Q005631","Akkadian","clay","","plaque","Old Assyrian","893945","RIMA 1 A.0.33.11","Erišum I 11","Ashur","","","Erišum I","Old Assyrian","inscribed","Cuneiform","","Erishum I","","",""
"","","P463235","Vorderasiatisches Museum, Berlin, Germany","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005632/."," ca. 1974-1935","","Erišum I 12","RIAo Erišum I 12","Assyria","","VA Ass 02260 (Ass 01737 [+] Ass 01761)","","Royal Inscription","Q005632","Akkadian","stone","","anthropomorphic statue","Old Assyrian","893945","RIMA 1 A.0.33.12","Erišum I 12","Ashur","","","Erišum I","Old Assyrian","inscribed","Cuneiform","","Erishum I","","",""
"","","P463236","Vorderasiatisches Museum, Berlin, Germany","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005633/."," ca. 1974-1935","","Erišum I 13","RIAo Erišum I 13","Assyria","","VA Ass 03212 (Ass 16754)","","Royal Inscription","Q005633","Akkadian","clay","","brick","Old Assyrian","893945","RIMA 1 A.0.33.13","Erišum I 13","Ashur","","","Erišum I","Old Assyrian","inscribed","Cuneiform","","Erishum I","","",""
"","","P463237","Arkeoloji Müzeleri, Istanbul, Turkey; Vorderasiatisches Museum, Berlin, Germany","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005634/."," ca. 1974-1935","","Erišum I 14","RIAo Erišum I 14","Assyria","","Ist EȘEM 06618 (Ass 00152II); VA Ass 03214a (Ass 04198); Ass 16083; Ass 16221; VA Ass 03214b (Ass 04297); VA Ass 03209v (Ass 20109); VA Ass 03210a (Ass 20346); Ass 04296; VA Ass 03209u (Ass 19500); VA Ass 03214c (Ass 19486); VA Ass 04296g; VA Ass 03215; VA Ass 03214e; VA Ass 03214d","","Royal Inscription","Q005634","Akkadian","clay","","brick","Old Assyrian","893945","RIMA 1 A.0.33.14","Erišum I 14","Ashur","","","Erišum I","Old Assyrian","inscribed","Cuneiform","","Erishum I","","",""
"","","P463238","Arkeoloji Müzeleri, Istanbul, Turkey; Vorderasiatisches Museum, Berlin, Germany","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005635/."," ca. 1974-1935","","Erišum I 15","RIAo Erišum I 15","Assyria","","Ist EȘEM 09333 (Ass 18629); VA 06931 (Ass 00152I); Ist EȘEM 09430 (Ass 22855); Ist EȘEM 06620; VA Ass 04296f (Ass 21853); VA Ass 04296e (Ass 19400); Ist EȘEM 09505 (Ass 16275)","","Royal Inscription","Q005635","Akkadian","clay","","brick","Old Assyrian","893945","RIMA 1 A.0.33.15","Erišum I 15","Ashur","","","Erišum I","Old Assyrian","inscribed","Cuneiform","","Erishum I","","",""
"","","P463239","","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005636/."," ca. 1974-1935","","Erišum I 16","RIAo Erišum I 16","Assyria","","Ass 09423","","Royal Inscription","Q005636","Akkadian","uncertain","","mace head","Old Assyrian","893945","RIMA 1 A.0.33.16","Erišum I 16","Ashur","","","Erišum I","Old Assyrian","inscribed","Cuneiform","","Erishum I","","",""
"","","P463240","Vorderasiatisches Museum, Berlin, Germany","Based on A. Kirk Grayson, Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC) (RIMA 1), Toronto, 1987. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q005637/."," ca. 1974-1935","","Erišum I 17","RIAo Erišum I 17","Assyria","","VA 05036 (Ass S 19414a)","","Royal Inscription","Q005637","Akkadian","clay","","seal (impression)","Old Assyrian","893945","RIMA 1 A.0.33.17","Erišum I 17","Ashur","","","Erišum I","Old Assyrian","inscribed","Cuneiform","","Erishum I","","",""
